project,cve_id,all_cwes,mapped_cwes,unmapped_cwes,categories_found
argo_cd,CVE-2021-23135,"CWE-497, CWE-209",CWE-209,CWE-497,Error Handling and Logging
argo_cd,CVE-2022-24904,"CWE-59, CWE-61, CWE-59","CWE-59, CWE-59",CWE-61,System Configuration
argo_cd,CVE-2022-29165,"CWE-200, CWE-287, CWE-290, CWE-290","CWE-200, CWE-287","CWE-290, CWE-290","Data Protection, Permission"
argo_cd,CVE-2022-31034,"CWE-330, CWE-331, CWE-335",None,"CWE-330, CWE-331, CWE-335",None
argo_cd,CVE-2022-31036,"CWE-20, CWE-61, CWE-59","CWE-20, CWE-59",CWE-61,"Input Validation, System Configuration"
argo_cd,CVE-2022-31105,"CWE-295, CWE-599, CWE-295","CWE-295, CWE-295",CWE-599,Data Protection
argo_cd,CVE-2024-21652,"CWE-307, CWE-307",None,"CWE-307, CWE-307",None
argo_cd,CVE-2024-21661,"CWE-787, NVD-CWE-noinfo",None,CWE-787,None
argo_cd,CVE-2024-21662,"CWE-307, CWE-307",None,"CWE-307, CWE-307",None
argo_cd,CVE-2024-31989,"CWE-327, CWE-327",None,"CWE-327, CWE-327",None
argo_cd,CVE-2025-55191,CWE-362,None,CWE-362,None
argo_cd,CVE-2025-59531,CWE-703,None,CWE-703,None
argo_cd,CVE-2025-59537,"CWE-20, CWE-476, CWE-476",CWE-20,"CWE-476, CWE-476",Input Validation
argo_cd,CVE-2025-59538,"CWE-248, CWE-703",None,"CWE-248, CWE-703",None
bamboo,CVE-2022-26136,"CWE-180, CWE-287",CWE-287,CWE-180,Permission
bamboo,CVE-2022-26137,"CWE-180, CWE-346",None,"CWE-180, CWE-346",None
bamboo,CVE-2024-21687,"NVD-CWE-noinfo, CWE-98",None,CWE-98,None
bitbucket,CVE-2017-16857,CWE-362,None,CWE-362,None
bitbucket,CVE-2020-14171,CWE-319,None,CWE-319,None
bitbucket,CVE-2022-26136,"CWE-180, CWE-287",CWE-287,CWE-180,Permission
bitbucket,CVE-2022-26137,"CWE-180, CWE-346",None,"CWE-180, CWE-346",None
bitbucket,CVE-2022-36804,"CWE-78, CWE-88, CWE-78, CWE-88","CWE-78, CWE-78","CWE-88, CWE-88",Input Validation
github,CVE-2012-2055,CWE-913,None,CWE-913,None
github,CVE-2020-10516,"CWE-285, CWE-552",CWE-285,CWE-552,Permission
github,CVE-2021-22866,"CWE-451, CWE-1021",None,"CWE-451, CWE-1021",None
github,CVE-2021-32638,"CWE-200, CWE-214, CWE-200","CWE-200, CWE-200",CWE-214,Data Protection
github,CVE-2021-22869,"CWE-668, CWE-287",CWE-287,CWE-668,Permission
github,CVE-2021-41598,"CWE-451, NVD-CWE-Other",None,CWE-451,None
github,CVE-2022-24724,CWE-190,None,CWE-190,None
github,CVE-2022-35954,"CWE-77, CWE-74",CWE-77,CWE-74,Input Validation
github,CVE-2022-23738,"CWE-200, CWE-552",CWE-200,CWE-552,Data Protection
github,CVE-2022-23740,"CWE-88, CWE-88",None,"CWE-88, CWE-88",None
github,CVE-2023-22485,"CWE-125, CWE-91",None,"CWE-125, CWE-91",None
github,CVE-2022-46257,"CWE-200, CWE-668",CWE-200,CWE-668,Data Protection
github,CVE-2023-46648,"CWE-331, CWE-331",None,"CWE-331, CWE-331",None
github,CVE-2024-0200,"CWE-470, CWE-470",None,"CWE-470, CWE-470",None
github,CVE-2024-3684,CWE-88,None,CWE-88,None
github,CVE-2024-4985,CWE-303,None,CWE-303,None
github,CVE-2024-6800,"CWE-347, CWE-347",None,"CWE-347, CWE-347",None
github,CVE-2024-9487,"CWE-347, CWE-347",None,"CWE-347, CWE-347",None
github,CVE-2025-23369,CWE-347,None,CWE-347,None
github,CVE-2026-4296,CWE-185,None,CWE-185,None
gitlab,CVE-2016-9469,"CWE-749, CWE-264",CWE-264,CWE-749,Permission
gitlab,CVE-2017-0914,"CWE-89, CWE-89",None,"CWE-89, CWE-89",None
gitlab,CVE-2017-0925,"CWE-522, CWE-319",CWE-522,CWE-319,Data Protection
gitlab,CVE-2018-3710,"CWE-377, CWE-22",CWE-22,CWE-377,File Management
gitlab,CVE-2017-0921,CWE-640,None,CWE-640,None
gitlab,CVE-2019-10114,CWE-203,None,CWE-203,None
gitlab,CVE-2019-10112,CWE-326,None,CWE-326,None
gitlab,CVE-2018-19585,CWE-93,None,CWE-93,None
gitlab,CVE-2018-19572,CWE-362,None,CWE-362,None
gitlab,CVE-2019-14943,CWE-798,None,CWE-798,None
gitlab,CVE-2019-11546,CWE-362,None,CWE-362,None
gitlab,CVE-2019-6995,CWE-281,None,CWE-281,None
gitlab,CVE-2019-6791,CWE-281,None,CWE-281,None
gitlab,CVE-2019-18457,CWE-281,None,CWE-281,None
gitlab,CVE-2019-18458,CWE-281,None,CWE-281,None
gitlab,CVE-2019-18455,CWE-835,None,CWE-835,None
gitlab,CVE-2019-15577,"CWE-200, CWE-307",CWE-200,CWE-307,Data Protection
gitlab,CVE-2019-19313,CWE-755,None,CWE-755,None
gitlab,CVE-2013-4582,CWE-829,None,CWE-829,None
gitlab,CVE-2019-12825,CWE-922,None,CWE-922,None
gitlab,CVE-2019-12434,CWE-330,None,CWE-330,None
gitlab,CVE-2020-10083,CWE-281,None,CWE-281,None
gitlab,CVE-2020-10089,CWE-674,None,CWE-674,None
gitlab,CVE-2020-11505,CWE-444,None,CWE-444,None
gitlab,CVE-2020-11506,CWE-444,None,CWE-444,None
gitlab,CVE-2020-13262,CWE-74,None,CWE-74,None
gitlab,CVE-2020-13265,CWE-345,None,CWE-345,None
gitlab,CVE-2020-13282,CWE-281,None,CWE-281,None
gitlab,CVE-2020-13311,CWE-706,None,CWE-706,None
gitlab,CVE-2020-13312,CWE-307,None,CWE-307,None
gitlab,CVE-2020-13304,CWE-330,None,CWE-330,None
gitlab,CVE-2020-13308,CWE-281,None,CWE-281,None
gitlab,CVE-2020-13343,CWE-668,None,CWE-668,None
gitlab,CVE-2020-13346,CWE-459,None,CWE-459,None
gitlab,CVE-2020-13341,CWE-843,None,CWE-843,None
gitlab,CVE-2020-26411,CWE-404,None,CWE-404,None
gitlab,CVE-2021-22180,CWE-425,None,CWE-425,None
gitlab,CVE-2021-22197,CWE-835,None,CWE-835,None
gitlab,CVE-2021-22232,CWE-74,None,CWE-74,None
gitlab,CVE-2021-22237,CWE-384,None,CWE-384,None
gitlab,CVE-2021-39899,CWE-640,None,CWE-640,None
gitlab,CVE-2021-39882,CWE-319,None,CWE-319,None
gitlab,CVE-2021-39891,CWE-212,None,CWE-212,None
gitlab,CVE-2021-39897,CWE-281,None,CWE-281,None
gitlab,CVE-2021-39909,CWE-347,None,CWE-347,None
gitlab,CVE-2021-22170,CWE-327,None,CWE-327,None
gitlab,CVE-2021-39915,CWE-668,None,CWE-668,None
gitlab,CVE-2021-39919,CWE-640,None,CWE-640,None
gitlab,CVE-2022-0244,CWE-552,None,CWE-552,None
gitlab,CVE-2022-1100,CWE-772,None,CWE-772,None
gitlab,CVE-2022-1148,CWE-565,None,CWE-565,None
gitlab,CVE-2022-1162,CWE-798,None,CWE-798,None
gitlab,CVE-2022-1185,CWE-787,None,CWE-787,None
gitlab,CVE-2022-2307,CWE-459,None,CWE-459,None
gitlab,CVE-2022-2992,"CWE-74, CWE-74",None,"CWE-74, CWE-74",None
gitlab,CVE-2022-3031,"NVD-CWE-Other, CWE-307",None,CWE-307,None
gitlab,CVE-2022-3279,"CWE-755, CWE-755",None,"CWE-755, CWE-755",None
gitlab,CVE-2022-3288,"NVD-CWE-noinfo, CWE-471",None,CWE-471,None
gitlab,CVE-2022-2882,"CWE-668, CWE-668",None,"CWE-668, CWE-668",None
gitlab,CVE-2022-4037,"CWE-362, CWE-362",None,"CWE-362, CWE-362",None
gitlab,CVE-2022-3478,"CWE-434, CWE-434",None,"CWE-434, CWE-434",None
gitlab,CVE-2022-3820,"NVD-CWE-Other, CWE-290",None,CWE-290,None
gitlab,CVE-2022-4205,"CWE-843, CWE-843",None,"CWE-843, CWE-843",None
gitlab,CVE-2022-3375,"NVD-CWE-noinfo, CWE-535",None,CWE-535,None
gitlab,CVE-2023-1098,"NVD-CWE-noinfo, CWE-535",None,CWE-535,None
gitlab,CVE-2019-14942,"CWE-319, CWE-319",None,"CWE-319, CWE-319",None
gitlab,CVE-2023-0485,CWE-668,None,CWE-668,None
gitlab,CVE-2023-1204,"NVD-CWE-noinfo, CWE-347",None,CWE-347,None
gitlab,CVE-2023-1265,CWE-384,None,CWE-384,None
gitlab,CVE-2023-2069,CWE-668,None,CWE-668,None
gitlab,CVE-2023-0508,"CWE-113, NVD-CWE-Other",None,CWE-113,None
gitlab,CVE-2023-2001,"NVD-CWE-noinfo, CWE-290",None,CWE-290,None
gitlab,CVE-2023-2013,"NVD-CWE-noinfo, CWE-1021",None,CWE-1021,None
gitlab,CVE-2023-2485,"CWE-266, NVD-CWE-Other",None,CWE-266,None
gitlab,CVE-2023-2589,"NVD-CWE-noinfo, CWE-346",None,CWE-346,None
gitlab,CVE-2023-1936,"CWE-359, NVD-CWE-Other",None,CWE-359,None
gitlab,CVE-2023-3900,"CWE-1287, NVD-CWE-noinfo",None,CWE-1287,None
gitlab,CVE-2023-2022,"CWE-262, NVD-CWE-Other",None,CWE-262,None
gitlab,CVE-2023-3932,"CWE-286, NVD-CWE-noinfo",None,CWE-286,None
gitlab,CVE-2023-4008,"CWE-708, NVD-CWE-noinfo",None,CWE-708,None
gitlab,CVE-2023-4522,"CWE-1287, NVD-CWE-noinfo",None,CWE-1287,None
gitlab,CVE-2023-1555,"CWE-262, NVD-CWE-Other",None,CWE-262,None
gitlab,CVE-2023-3915,"CWE-279, CWE-732",CWE-732,CWE-279,Permission
gitlab,CVE-2023-4018,"CWE-425, NVD-CWE-Other",None,CWE-425,None
gitlab,CVE-2023-0989,"CWE-282, NVD-CWE-noinfo",None,CWE-282,None
gitlab,CVE-2023-3115,"CWE-286, NVD-CWE-Other",None,CWE-286,None
gitlab,CVE-2023-3906,"CWE-1287, NVD-CWE-Other",None,CWE-1287,None
gitlab,CVE-2023-3914,"CWE-286, NVD-CWE-Other",None,CWE-286,None
gitlab,CVE-2023-3917,"CWE-1287, NVD-CWE-noinfo",None,CWE-1287,None
gitlab,CVE-2023-5207,"CWE-250, NVD-CWE-noinfo",None,CWE-250,None
gitlab,CVE-2023-5825,"CWE-835, CWE-835",None,"CWE-835, CWE-835",None
gitlab,CVE-2023-3904,"CWE-1287, NVD-CWE-Other",None,CWE-1287,None
gitlab,CVE-2023-3907,"CWE-286, NVD-CWE-Other",None,CWE-286,None
gitlab,CVE-2023-2030,"CWE-347, CWE-347",None,"CWE-347, CWE-347",None
gitlab,CVE-2023-7028,"CWE-640, CWE-640",None,"CWE-640, CWE-640",None
gitlab,CVE-2023-5933,"CWE-80, CWE-79",CWE-79,CWE-80,Input Validation
gitlab,CVE-2024-0456,"CWE-425, NVD-CWE-Other",None,CWE-425,None
gitlab,CVE-2024-1250,"CWE-268, NVD-CWE-noinfo",None,CWE-268,None
gitlab,CVE-2023-6477,"CWE-266, NVD-CWE-noinfo",None,CWE-266,None
gitlab,CVE-2024-0410,"CWE-841, NVD-CWE-Other",None,CWE-841,None
gitlab,CVE-2024-0861,"CWE-425, NVD-CWE-Other",None,CWE-425,None
gitlab,CVE-2024-1299,"CWE-268, NVD-CWE-noinfo",None,CWE-268,None
gitlab,CVE-2024-1347,"CWE-290, NVD-CWE-noinfo",None,CWE-290,None
gitlab,CVE-2024-4024,"CWE-302, CWE-287",CWE-287,CWE-302,Permission
