cwe,total_count
CWE-79,419
NVD-CWE-noinfo,388
CWE-863,193
CWE-200,116
NVD-CWE-Other,104
CWE-770,98
CWE-862,97
CWE-22,88
CWE-400,72
CWE-1333,67
CWE-918,64
CWE-639,55
CWE-20,52
CWE-352,49
CWE-532,47
CWE-77,41
CWE-287,36
CWE-284,35
CWE-269,34
CWE-732,33
CWE-601,32
CWE-94,30
CWE-209,26
CWE-502,21
CWE-276,21
CWE-201,17
CWE-613,17
CWE-264,16
CWE-285,16
CWE-306,15
CWE-407,15
CWE-116,14
CWE-522,13
CWE-312,13
CWE-78,13
CWE-1284,12
CWE-23,12
CWE-288,12
CWE-367,12
CWE-59,11
CWE-1220,10
CWE-697,10
CWE-295,10
CWE-835,9
CWE-668,9
CWE-347,9
CWE-88,9
CWE-281,8
CWE-290,8
CWE-74,8
CWE-362,8
CWE-1021,7
CWE-307,7
CWE-286,6
CWE-640,6
CWE-425,6
CWE-319,6
CWE-203,6
CWE-346,6
CWE-1287,5
CWE-840,5
CWE-497,5
CWE-434,5
CWE-611,4
CWE-80,4
CWE-538,4
CWE-212,4
CWE-843,4
CWE-266,4
CWE-552,4
CWE-180,4
CWE-754,4
CWE-451,4
CWE-749,4
CWE-330,4
CWE-327,4
CWE-325,3
CWE-254,3
CWE-755,3
CWE-359,3
CWE-1188,3
CWE-708,3
CWE-250,3
CWE-684,3
CWE-213,3
CWE-358,3
CWE-331,3
CWE-1288,3
CWE-922,3
CWE-459,3
CWE-384,3
CWE-829,3
CWE-345,3
CWE-470,2
CWE-798,2
CWE-270,2
CWE-262,2
CWE-93,2
CWE-89,2
CWE-267,2
CWE-268,2
CWE-674,2
CWE-706,2
CWE-444,2
CWE-535,2
CWE-61,2
CWE-703,2
CWE-476,2
CWE-787,2
CWE-377,2
CWE-404,2
CWE-772,2
CWE-282,2
CWE-326,2
CWE-185,2
CWE-303,2
CWE-335,1
CWE-599,1
CWE-354,1
CWE-453,1
CWE-939,1
CWE-409,1
CWE-424,1
CWE-436,1
CWE-441,1
CWE-471,1
CWE-540,1
CWE-565,1
CWE-642,1
CWE-789,1
CWE-821,1
CWE-841,1
CWE-233,1
CWE-252,1
CWE-279,1
CWE-302,1
CWE-305,1
CWE-99,1
CWE-117,1
CWE-17,1
CWE-184,1
CWE-27,1
CWE-310,1
CWE-91,1
CWE-913,1
CWE-1023,1
CWE-113,1
CWE-1289,1
CWE-1295,1
CWE-1390,1
CWE-177,1
CWE-125,1
CWE-190,1
CWE-214,1
CWE-350,1
CWE-399,1
CWE-90,1
CWE-98,1
CWE-183,1
CWE-208,1
CWE-223,1
CWE-272,1
CWE-280,1
CWE-308,1
CWE-328,1
CWE-129,1
CWE-248,1
Total,2794
