id,cwes,project
CVE-2021-23135,"['CWE-497', 'CWE-209']",argo_cd
CVE-2022-24730,"['CWE-22', 'CWE-284', 'CWE-22', 'CWE-863']",argo_cd
CVE-2022-24731,"['CWE-22', 'CWE-284', 'CWE-22', 'CWE-209']",argo_cd
CVE-2022-24768,"['CWE-200', 'CWE-862']",argo_cd
CVE-2022-24904,"['CWE-59', 'CWE-61', 'CWE-59']",argo_cd
CVE-2022-24905,"['CWE-20', 'NVD-CWE-noinfo']",argo_cd
CVE-2022-29165,"['CWE-200', 'CWE-287', 'CWE-290', 'CWE-290']",argo_cd
CVE-2022-31016,"['CWE-400', 'CWE-770']",argo_cd
CVE-2022-31034,"['CWE-330', 'CWE-331', 'CWE-335']",argo_cd
CVE-2022-31036,"['CWE-20', 'CWE-61', 'CWE-59']",argo_cd
CVE-2022-1025,"['CWE-284', 'NVD-CWE-Other']",argo_cd
CVE-2022-31105,"['CWE-295', 'CWE-599', 'CWE-295']",argo_cd
CVE-2023-23947,"['CWE-863', 'CWE-863']",argo_cd
CVE-2023-40029,"['CWE-200', 'CWE-532']",argo_cd
CVE-2024-22424,"['CWE-352', 'CWE-352']",argo_cd
CVE-2023-50726,"['CWE-269', 'CWE-863']",argo_cd
CVE-2024-28175,"['CWE-79', 'CWE-79']",argo_cd
CVE-2024-21652,"['CWE-307', 'CWE-307']",argo_cd
CVE-2024-21661,"['CWE-787', 'NVD-CWE-noinfo']",argo_cd
CVE-2024-21662,"['CWE-307', 'CWE-307']",argo_cd
CVE-2024-29893,"['CWE-400', 'NVD-CWE-noinfo']",argo_cd
CVE-2024-31990,"['CWE-863', 'CWE-863']",argo_cd
CVE-2024-32476,"['CWE-400', 'NVD-CWE-noinfo']",argo_cd
CVE-2024-31989,"['CWE-327', 'CWE-327']",argo_cd
CVE-2024-36106,"['CWE-209', 'CWE-209']",argo_cd
CVE-2024-37152,"['CWE-287', 'CWE-306', 'CWE-306']",argo_cd
CVE-2024-40634,"['CWE-400', 'NVD-CWE-noinfo']",argo_cd
CVE-2024-41666,"['CWE-269', 'NVD-CWE-noinfo']",argo_cd
CVE-2025-23216,"['CWE-200', 'CWE-209', 'CWE-209']",argo_cd
CVE-2025-59537,"['CWE-20', 'CWE-476', 'CWE-476']",argo_cd
CVE-2025-59538,"['CWE-248', 'CWE-703']",argo_cd
CVE-2023-21564,"['CWE-79', 'CWE-79']",azure_devops
CVE-2023-21553,"['CWE-94', 'NVD-CWE-noinfo']",azure_devops
CVE-2023-21565,"['CWE-79', 'NVD-CWE-noinfo']",azure_devops
CVE-2023-21569,"['CWE-94', 'NVD-CWE-noinfo']",azure_devops
CVE-2023-36869,"['CWE-79', 'NVD-CWE-noinfo']",azure_devops
CVE-2023-33136,"['CWE-77', 'NVD-CWE-noinfo']",azure_devops
