CPE Completo (Versão),Frequência (Ocorrências)
cpe:2.3:a:github:enterprise_server:*:*:*:*:*:*:*:*,419
cpe:2.3:a:google:tensorflow:*:*:*:*:*:*:*:*,349
cpe:2.3:a:vim:vim:*:*:*:*:*:*:*:*,133
cpe:2.3:o:fedoraproject:fedora:35:*:*:*:*:*:*:*,93
cpe:2.3:a:phpmyfaq:phpmyfaq:*:*:*:*:*:*:*:*,69
cpe:2.3:o:fedoraproject:fedora:36:*:*:*:*:*:*:*,67
cpe:2.3:a:google:tensorflow:2.10:rc2:*:*:*:*:*:*,59
cpe:2.3:a:pimcore:pimcore:*:*:*:*:*:*:*:*,59
cpe:2.3:a:google:tensorflow:2.10:rc3:*:*:*:*:*:*,59
cpe:2.3:a:google:tensorflow:2.10:rc0:*:*:*:*:*:*,59
cpe:2.3:a:google:tensorflow:2.10:rc1:*:*:*:*:*:*,59
cpe:2.3:a:google:tensorflow:2.5.0:*:*:*:*:*:*:*,57
cpe:2.3:a:usememos:memos:*:*:*:*:*:*:*:*,57
cpe:2.3:a:google:tensorflow:2.6.0:rc0:*:*:*:*:*:*,57
cpe:2.3:a:google:tensorflow:2.6.0:rc1:*:*:*:*:*:*,57
cpe:2.3:a:google:tensorflow:2.6.0:rc2:*:*:*:*:*:*,57
cpe:2.3:a:microweber:microweber:*:*:*:*:*:*:*:*,55
cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*,52
cpe:2.3:o:apple:macos:*:*:*:*:*:*:*:*,49
cpe:2.3:a:gpac:gpac:*:*:*:*:*:*:*:*,46
cpe:2.3:a:ikus-soft:rdiffweb:*:*:*:*:*:*:*:*,42
cpe:2.3:a:radare:radare2:*:*:*:*:*:*:*:*,41
cpe:2.3:o:fedoraproject:fedora:34:*:*:*:*:*:*:*,40
cpe:2.3:a:open-emr:openemr:*:*:*:*:*:*:*:*,37
cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*,35
cpe:2.3:a:answer:answer:*:*:*:*:*:*:*:*,34
cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*,32
cpe:2.3:o:fedoraproject:fedora:37:*:*:*:*:*:*:*,31
cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*,28
cpe:2.3:a:diagrams:drawio:*:*:*:*:*:*:*:*,26
cpe:2.3:a:froxlor:froxlor:*:*:*:*:*:*:*:*,25
cpe:2.3:a:github:github:*:*:*:*:enterprise:*:*:*,20
cpe:2.3:a:showdoc:showdoc:*:*:*:*:*:*:*:*,20
cpe:2.3:a:teampass:teampass:*:*:*:*:*:*:*:*,19
cpe:2.3:a:trudesk_project:trudesk:*:*:*:*:*:*:*:*,18
cpe:2.3:a:librenms:librenms:*:*:*:*:*:*:*:*,18
cpe:2.3:a:salesagility:suitecrm:*:*:*:*:*:*:*:*,16
cpe:2.3:a:zoneland:o2oa:*:*:*:*:*:*:*:*,16
cpe:2.3:a:instantcms:instantcms:*:*:*:*:*:*:*:*,14
cpe:2.3:a:agentejo:cockpit:*:*:*:*:*:*:*:*,14
cpe:2.3:a:fossbilling:fossbilling:*:*:*:*:*:*:*:*,12
cpe:2.3:a:sfu:pkp_web_application_library:*:*:*:*:*:*:*:*,11
cpe:2.3:a:lfprojects:mlflow:*:*:*:*:*:*:*:*,11
cpe:2.3:a:yetiforce:yetiforce_customer_relationship_management:*:*:*:*:*:*:*:*,10
cpe:2.3:a:publify_project:publify:*:*:*:*:*:*:*:*,10
cpe:2.3:a:hestiacp:control_panel:*:*:*:*:*:*:*:*,10
cpe:2.3:a:flatpress:flatpress:*:*:*:*:*:*:*:*,10
cpe:2.3:a:github:enterprise_server:3.11.0:*:*:*:*:*:*:*,10
cpe:2.3:a:gogs:gogs:*:*:*:*:*:*:*:*,9
cpe:2.3:a:jetbrains:teamcity:*:*:*:*:*:*:*:*,9
cpe:2.3:o:fedoraproject:fedora:38:*:*:*:*:*:*:*,9
cpe:2.3:a:ikus-soft:rdiffweb:2.5.0:alpha1:*:*:*:*:*:*,9
cpe:2.3:a:google:tensorflow:2.10.0:*:*:*:*:*:*:*,9
cpe:2.3:a:facturascripts:facturascripts:*:*:*:*:*:*:*:*,9
cpe:2.3:a:github:cmark-gfm:*:*:*:*:*:*:*:*,9
cpe:2.3:a:xwiki:xwiki:*:*:*:*:*:*:*:*,9
cpe:2.3:a:ikus-soft:rdiffweb:2.5.0:alpha2:*:*:*:*:*:*,9
cpe:2.3:a:snipeitapp:snipe-it:*:*:*:*:*:*:*:*,9
cpe:2.3:a:phpipam:phpipam:*:*:*:*:*:*:*:*,8
cpe:2.3:a:liquidjs:liquidjs:*:*:*:*:*:node.js:*:*,8
cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*,8
cpe:2.3:a:rosariosis:rosariosis:*:*:*:*:*:*:*:*,8
cpe:2.3:a:janeczku:calibre-web:*:*:*:*:*:*:*:*,8
cpe:2.3:a:easyappointments:easyappointments:*:*:*:*:*:*:*:*,8
cpe:2.3:a:mruby:mruby:*:*:*:*:*:*:*:*,8
cpe:2.3:a:chatwoot:chatwoot:*:*:*:*:*:*:*:*,8
cpe:2.3:a:modoboa:modoboa:*:*:*:*:*:*:*:*,8
cpe:2.3:a:nocodb:nocodb:*:*:*:*:*:*:*:*,7
cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,7
cpe:2.3:a:pyload:pyload:*:*:*:*:*:*:*:*,7
cpe:2.3:a:ikus-soft:rdiffweb:2.5.0:alpha3:*:*:*:*:*:*,7
