project,cwes,count
gitlab,NVD-CWE-noinfo,294
gitlab,CWE-79,200
gitlab,CWE-863,127
gitlab,CWE-770,89
gitlab,NVD-CWE-Other,79
gitlab,CWE-862,69
gitlab,CWE-200,67
gitlab,CWE-1333,66
jenkins,CWE-79,61
gitlab,CWE-400,56
gitlab,CWE-918,52
gitlab,CWE-639,49
gitlab,CWE-22,33
jenkins,CWE-200,31
gitlab,CWE-732,30
gitlab,CWE-284,26
gitlab,CWE-601,23
gitlab,CWE-532,22
gitlab,CWE-287,19
gitlab,CWE-352,19
gitlab,CWE-94,18
gitlab,CWE-20,18
jenkins,NVD-CWE-noinfo,17
gitlab,CWE-269,16
jenkins,CWE-352,16
gitlab,CWE-77,16
jenkins,CWE-22,15
gitlab,CWE-209,15
gitlab,CWE-201,14
jenkins,CWE-862,13
jenkins,CWE-264,13
jenkins,CWE-863,13
gitlab,CWE-116,12
gitlab,CWE-1284,12
jenkins,CWE-502,11
jenkins,CWE-20,11
gitlab,CWE-306,10
gitlab,CWE-276,10
gitlab,CWE-1220,10
jenkins,NVD-CWE-Other,9
gitlab,CWE-288,8
gitlab,CWE-613,8
gitlab,CWE-281,8
gitlab,CWE-285,8
gitlab,CWE-407,7
gitlab,CWE-835,7
jenkins,CWE-770,6
gitlab,CWE-668,6
gitlab,CWE-312,6
gitlab,CWE-295,6
gitlab,CWE-290,6
gitlab,CWE-286,6
gitlab,CWE-74,5
gitlab,CWE-840,5
gitlab,CWE-425,5
gitlab,CWE-640,5
jenkins,CWE-59,5
jenkins,CWE-287,5
gitlab,CWE-1021,5
gitlab,CWE-522,5
gitlab,CWE-1287,5
gitlab,CWE-362,4
gitlab,CWE-80,4
gitlab,CWE-434,4
gitlab,CWE-319,4
jenkins,CWE-312,4
gitlab,CWE-497,4
gitlab,CWE-347,4
gitlab,CWE-367,3
gitlab,CWE-755,3
gitlab,CWE-684,3
gitlab,CWE-359,3
gitlab,CWE-78,3
gitlab,CWE-708,3
gitlab,CWE-213,3
gitlab,CWE-212,3
gitlab,CWE-250,3
gitlab,CWE-264,3
gitlab,CWE-266,3
gitlab,CWE-307,3
jenkins,CWE-254,3
jenkins,CWE-358,3
jenkins,CWE-325,3
jenkins,CWE-203,3
gitlab,CWE-843,3
jenkins,CWE-346,2
jenkins,CWE-276,2
gitlab,CWE-444,2
gitlab,CWE-451,2
gitlab,CWE-535,2
gitlab,CWE-552,2
jenkins,CWE-754,2
jenkins,CWE-835,2
jenkins,CWE-209,2
gitlab,CWE-93,2
gitlab,CWE-89,2
gitlab,CWE-697,2
gitlab,CWE-674,2
gitlab,CWE-706,2
gitlab,CWE-754,2
gitlab,CWE-798,2
gitlab,CWE-270,2
gitlab,CWE-267,2
gitlab,CWE-268,2
gitlab,CWE-330,2
gitlab,CWE-262,2
gitlab,CWE-459,2
gitlab,CWE-502,2
gitlab,CWE-384,2
gitlab,CWE-346,2
gitlab,CWE-749,2
gitlab,CWE-113,1
gitlab,CWE-1390,1
gitlab,CWE-1295,1
gitlab,CWE-177,1
gitlab,CWE-203,1
gitlab,CWE-327,1
gitlab,CWE-326,1
gitlab,CWE-305,1
gitlab,CWE-302,1
gitlab,CWE-252,1
gitlab,CWE-233,1
gitlab,CWE-279,1
gitlab,CWE-282,1
gitlab,CWE-23,1
gitlab,CWE-1023,1
gitlab,CWE-1289,1
gitlab,CWE-1288,1
gitlab,CWE-841,1
gitlab,CWE-821,1
gitlab,CWE-540,1
gitlab,CWE-565,1
gitlab,CWE-404,1
gitlab,CWE-345,1
gitlab,CWE-829,1
gitlab,CWE-789,1
gitlab,CWE-787,1
gitlab,CWE-772,1
gitlab,CWE-642,1
gitlab,CWE-377,1
gitlab,CWE-409,1
gitlab,CWE-424,1
gitlab,CWE-441,1
gitlab,CWE-436,1
gitlab,CWE-471,1
gitlab,CWE-538,1
jenkins,CWE-1021,1
jenkins,CWE-117,1
jenkins,CWE-345,1
jenkins,CWE-330,1
jenkins,CWE-326,1
jenkins,CWE-319,1
jenkins,CWE-310,1
jenkins,CWE-27,1
jenkins,CWE-284,1
jenkins,CWE-295,1
jenkins,CWE-184,1
jenkins,CWE-17,1
gitlab,CWE-99,1
gitlab,CWE-922,1
jenkins,CWE-367,1
jenkins,CWE-377,1
jenkins,CWE-350,1
jenkins,CWE-362,1
jenkins,CWE-613,1
jenkins,CWE-601,1
jenkins,CWE-532,1
jenkins,CWE-434,1
jenkins,CWE-400,1
jenkins,CWE-404,1
jenkins,CWE-384,1
jenkins,CWE-399,1
jenkins,CWE-772,1
jenkins,CWE-78,1
jenkins,CWE-74,1
jenkins,CWE-732,1
jenkins,CWE-90,1
jenkins,CWE-843,1
jenkins,CWE-94,1
jenkins,CWE-918,1
