id,project,cvss_score,cvss_version
CVE-2011-4344,jenkins,2.6,2.0
CVE-2012-0324,jenkins,4.3,2.0
CVE-2012-0325,jenkins,4.3,2.0
CVE-2012-6072,jenkins,4.3,2.0
CVE-2012-6073,jenkins,5.8,2.0
CVE-2012-6074,jenkins,3.5,2.0
CVE-2013-0158,jenkins,2.6,2.0
CVE-2013-0327,jenkins,6.8,2.0
CVE-2013-0328,jenkins,4.3,2.0
CVE-2013-0329,jenkins,7.5,2.0
CVE-2013-0330,jenkins,4.0,2.0
CVE-2013-0331,jenkins,4.0,2.0
CVE-2013-5573,jenkins,4.3,2.0
CVE-2014-2059,jenkins,6.5,2.0
CVE-2014-2067,jenkins,3.5,2.0
CVE-2013-2033,jenkins,2.1,2.0
CVE-2014-3664,jenkins,4.0,2.0
CVE-2014-3681,jenkins,4.3,2.0
CVE-2014-3661,jenkins,5.0,2.0
CVE-2014-3662,jenkins,5.0,2.0
CVE-2014-3663,jenkins,6.0,2.0
CVE-2014-3666,jenkins,7.5,2.0
CVE-2014-3667,jenkins,4.0,2.0
CVE-2014-3680,jenkins,4.0,2.0
CVE-2013-7330,jenkins,4.0,2.0
CVE-2014-2058,jenkins,6.5,2.0
CVE-2014-2060,jenkins,5.0,2.0
CVE-2014-2061,jenkins,5.0,2.0
CVE-2014-2062,jenkins,6.5,2.0
CVE-2014-2063,jenkins,7.5,2.0
CVE-2014-2064,jenkins,5.0,2.0
CVE-2014-2065,jenkins,4.3,2.0
CVE-2014-2066,jenkins,6.8,2.0
CVE-2014-2068,jenkins,3.5,2.0
CVE-2015-1806,jenkins,6.5,2.0
CVE-2015-1807,jenkins,3.5,2.0
CVE-2015-1808,jenkins,3.5,2.0
CVE-2015-1810,jenkins,4.6,2.0
CVE-2015-1812,jenkins,4.3,2.0
CVE-2015-1813,jenkins,4.3,2.0
CVE-2015-1814,jenkins,7.5,2.0
CVE-2014-3665,jenkins,6.8,2.0
CVE-2015-5317,jenkins,7.5,3.1
CVE-2015-5318,jenkins,6.8,2.0
CVE-2015-5319,jenkins,5.0,2.0
CVE-2015-5320,jenkins,5.0,2.0
CVE-2015-5321,jenkins,5.0,2.0
CVE-2015-5322,jenkins,5.0,2.0
CVE-2015-5323,jenkins,6.5,2.0
CVE-2015-5324,jenkins,5.0,2.0
CVE-2015-5325,jenkins,7.5,2.0
CVE-2015-5326,jenkins,4.3,2.0
CVE-2015-8103,jenkins,9.8,3.1
CVE-2015-7536,jenkins,5.4,3.0
CVE-2015-7537,jenkins,8.8,3.0
CVE-2015-7538,jenkins,8.8,3.0
CVE-2015-7539,jenkins,7.5,3.0
CVE-2016-0788,jenkins,9.8,3.0
CVE-2016-0789,jenkins,6.1,3.0
CVE-2016-0790,jenkins,5.3,3.0
CVE-2016-0791,jenkins,9.8,3.0
CVE-2016-0792,jenkins,8.8,3.0
CVE-2016-3721,jenkins,4.3,3.1
CVE-2016-3722,jenkins,4.3,3.0
CVE-2016-3723,jenkins,4.3,3.0
CVE-2016-3724,jenkins,6.5,3.0
CVE-2016-3725,jenkins,4.3,3.0
CVE-2016-3726,jenkins,7.4,3.0
CVE-2016-3727,jenkins,4.3,3.0
CVE-2016-9299,jenkins,9.8,3.0
CVE-2017-1000362,jenkins,9.8,3.0
CVE-2014-9634,jenkins,5.3,3.0
CVE-2014-9635,jenkins,5.3,3.0
CVE-2017-17383,jenkins,4.7,3.0
CVE-2017-1000503,jenkins,8.1,3.0
CVE-2017-1000504,jenkins,8.1,3.0
CVE-2017-1000391,jenkins,7.3,3.0
CVE-2017-1000392,jenkins,4.8,3.0
CVE-2017-1000393,jenkins,8.8,3.0
CVE-2017-1000394,jenkins,7.5,3.0
CVE-2017-1000395,jenkins,4.3,3.0
CVE-2017-1000396,jenkins,5.9,3.0
CVE-2017-1000398,jenkins,4.3,3.0
CVE-2017-1000399,jenkins,4.3,3.0
CVE-2017-1000400,jenkins,4.3,3.0
CVE-2017-1000401,jenkins,2.2,3.0
CVE-2017-1000353,jenkins,9.8,3.1
CVE-2017-1000354,jenkins,8.8,3.0
CVE-2017-1000355,jenkins,6.5,3.0
CVE-2017-1000356,jenkins,8.8,3.0
CVE-2018-1000067,jenkins,5.3,3.1
CVE-2018-1000068,jenkins,5.3,3.1
CVE-2018-6356,jenkins,6.5,3.1
CVE-2017-2599,jenkins,5.4,3.1
CVE-2018-1000169,jenkins,5.3,3.0
CVE-2018-1000170,jenkins,5.4,3.0
CVE-2017-2611,jenkins,4.3,3.1
CVE-2017-2606,jenkins,4.3,3.0
CVE-2017-2601,jenkins,5.4,3.1
CVE-2017-2600,jenkins,4.3,3.0
CVE-2017-2608,jenkins,8.8,3.0
CVE-2017-2612,jenkins,5.4,3.0
CVE-2017-2602,jenkins,3.1,3.0
CVE-2017-2603,jenkins,2.6,3.0
CVE-2017-2604,jenkins,4.3,3.0
CVE-2017-2610,jenkins,5.4,3.0
CVE-2017-2613,jenkins,5.4,3.0
CVE-2017-2607,jenkins,4.2,3.0
CVE-2017-2609,jenkins,4.3,3.0
CVE-2017-2598,jenkins,4.3,3.0
CVE-2018-1000192,jenkins,4.3,3.1
CVE-2018-1000193,jenkins,4.3,3.1
CVE-2018-1000194,jenkins,8.1,3.1
CVE-2018-1000195,jenkins,4.3,3.1
CVE-2018-1999001,jenkins,8.8,3.1
CVE-2018-1999002,jenkins,7.5,3.1
CVE-2018-1999003,jenkins,4.3,3.1
CVE-2018-1999004,jenkins,4.3,3.1
CVE-2018-1999005,jenkins,5.4,3.1
CVE-2018-1999006,jenkins,4.3,3.0
CVE-2018-1999007,jenkins,5.4,3.1
CVE-2018-1999042,jenkins,5.3,3.0
CVE-2018-1999043,jenkins,7.5,3.0
CVE-2018-1999044,jenkins,6.5,3.0
CVE-2018-1999045,jenkins,5.4,3.0
CVE-2018-1999046,jenkins,4.3,3.0
CVE-2018-1999047,jenkins,6.5,3.0
CVE-2018-1000861,jenkins,9.8,3.1
CVE-2018-1000862,jenkins,4.3,3.0
CVE-2018-1000863,jenkins,8.2,3.0
CVE-2018-1000864,jenkins,6.5,3.0
CVE-2018-1000406,jenkins,6.5,3.0
CVE-2018-1000407,jenkins,6.1,3.0
CVE-2018-1000408,jenkins,6.5,3.0
CVE-2018-1000409,jenkins,5.4,3.0
CVE-2018-1000410,jenkins,7.8,3.0
CVE-2019-1003003,jenkins,7.2,3.1
CVE-2019-1003004,jenkins,7.2,3.1
CVE-2018-1000997,jenkins,6.5,3.0
CVE-2019-1003049,jenkins,8.1,3.1
CVE-2019-1003050,jenkins,5.4,3.1
CVE-2019-10352,jenkins,6.5,3.0
CVE-2019-10353,jenkins,7.5,3.0
CVE-2019-10354,jenkins,4.3,3.1
CVE-2019-10383,jenkins,4.8,3.1
CVE-2019-10384,jenkins,8.8,3.1
CVE-2019-10401,jenkins,5.4,3.1
CVE-2019-10402,jenkins,5.4,3.1
CVE-2019-10403,jenkins,5.4,3.1
CVE-2019-10404,jenkins,5.4,3.1
CVE-2019-10405,jenkins,5.4,3.1
CVE-2019-10406,jenkins,4.8,3.1
CVE-2012-4438,jenkins,8.8,3.1
CVE-2012-4439,jenkins,6.1,3.1
CVE-2012-4440,jenkins,6.1,3.1
CVE-2012-4441,jenkins,6.1,3.1
CVE-2020-2099,jenkins,8.6,3.1
CVE-2020-2100,jenkins,5.8,3.1
CVE-2020-2101,jenkins,5.3,3.1
CVE-2020-2102,jenkins,5.3,3.1
CVE-2020-2103,jenkins,5.4,3.1
CVE-2020-2104,jenkins,4.3,3.1
CVE-2020-2105,jenkins,5.4,3.1
CVE-2012-0785,jenkins,7.5,3.1
CVE-2020-2160,jenkins,8.8,3.1
CVE-2020-2161,jenkins,5.4,3.1
CVE-2020-2162,jenkins,5.4,3.1
CVE-2020-2163,jenkins,5.4,3.1
CVE-2020-2220,jenkins,5.4,3.1
CVE-2020-2221,jenkins,5.4,3.1
CVE-2020-2222,jenkins,5.4,3.1
CVE-2020-2223,jenkins,5.4,3.1
CVE-2020-2229,jenkins,5.4,3.1
CVE-2020-2230,jenkins,5.4,3.1
CVE-2020-2231,jenkins,5.4,3.1
CVE-2020-2251,jenkins,4.3,3.1
CVE-2021-21602,jenkins,6.5,3.1
