project,cwes,count,category
gitlab,NVD-CWE-noinfo,294,Unmapped CWEs
gitlab,CWE-79,200,Injection & Input Handling
gitlab,CWE-863,127,Identity & Access Management
gitlab,CWE-770,89,Resource & Memory Mgmt.
gitlab,NVD-CWE-Other,79,Unmapped CWEs
gitlab,CWE-862,69,Identity & Access Management
gitlab,CWE-200,67,Information Exposure
gitlab,CWE-1333,66,Miscellaneous & Unmapped
jenkins,CWE-79,61,Injection & Input Handling
gitlab,CWE-400,56,Resource & Memory Mgmt.
gitlab,CWE-918,52,Broken Business Logic
gitlab,CWE-639,49,Identity & Access Management
gitlab,CWE-22,33,Path & File Traversal
jenkins,CWE-200,31,Information Exposure
gitlab,CWE-732,30,Identity & Access Management
gitlab,CWE-284,26,Identity & Access Management
gitlab,CWE-601,23,Configuration & UI
gitlab,CWE-532,22,Information Exposure
gitlab,CWE-287,19,Identity & Access Management
gitlab,CWE-352,19,Miscellaneous & Unmapped
gitlab,CWE-94,18,Injection & Input Handling
gitlab,CWE-20,18,Injection & Input Handling
jenkins,NVD-CWE-noinfo,17,Unmapped CWEs
gitlab,CWE-269,16,Identity & Access Management
jenkins,CWE-352,16,Miscellaneous & Unmapped
gitlab,CWE-77,16,Injection & Input Handling
jenkins,CWE-22,15,Path & File Traversal
gitlab,CWE-209,15,Information Exposure
gitlab,CWE-201,14,Information Exposure
jenkins,CWE-862,13,Identity & Access Management
jenkins,CWE-264,13,Identity & Access Management
jenkins,CWE-863,13,Identity & Access Management
gitlab,CWE-116,12,Injection & Input Handling
gitlab,CWE-1284,12,Injection & Input Handling
jenkins,CWE-502,11,Broken Business Logic
jenkins,CWE-20,11,Injection & Input Handling
gitlab,CWE-306,10,Identity & Access Management
gitlab,CWE-276,10,Identity & Access Management
gitlab,CWE-1220,10,Miscellaneous & Unmapped
jenkins,NVD-CWE-Other,9,Unmapped CWEs
gitlab,CWE-288,8,Identity & Access Management
gitlab,CWE-613,8,Identity & Access Management
gitlab,CWE-281,8,Identity & Access Management
gitlab,CWE-285,8,Identity & Access Management
gitlab,CWE-407,7,Resource & Memory Mgmt.
gitlab,CWE-835,7,Resource & Memory Mgmt.
jenkins,CWE-770,6,Resource & Memory Mgmt.
gitlab,CWE-668,6,Broken Business Logic
gitlab,CWE-312,6,Information Exposure
gitlab,CWE-295,6,Cryptography
gitlab,CWE-290,6,Cryptography
gitlab,CWE-286,6,Identity & Access Management
gitlab,CWE-74,5,Injection & Input Handling
gitlab,CWE-840,5,Broken Business Logic
gitlab,CWE-425,5,Broken Business Logic
gitlab,CWE-640,5,Broken Business Logic
jenkins,CWE-59,5,Path & File Traversal
jenkins,CWE-287,5,Identity & Access Management
gitlab,CWE-1021,5,Configuration & UI
gitlab,CWE-522,5,Information Exposure
gitlab,CWE-1287,5,Injection & Input Handling
gitlab,CWE-362,4,Broken Business Logic
gitlab,CWE-80,4,Injection & Input Handling
gitlab,CWE-434,4,Broken Business Logic
gitlab,CWE-319,4,Cryptography
jenkins,CWE-312,4,Information Exposure
gitlab,CWE-497,4,Information Exposure
gitlab,CWE-347,4,Cryptography
gitlab,CWE-367,3,Broken Business Logic
gitlab,CWE-755,3,Broken Business Logic
gitlab,CWE-684,3,Broken Business Logic
gitlab,CWE-359,3,Information Exposure
gitlab,CWE-78,3,Injection & Input Handling
gitlab,CWE-708,3,Broken Business Logic
gitlab,CWE-213,3,Information Exposure
gitlab,CWE-212,3,Information Exposure
gitlab,CWE-250,3,Cryptography
gitlab,CWE-264,3,Identity & Access Management
gitlab,CWE-266,3,Identity & Access Management
gitlab,CWE-307,3,Identity & Access Management
jenkins,CWE-254,3,Cryptography
jenkins,CWE-358,3,Broken Business Logic
jenkins,CWE-325,3,Cryptography
jenkins,CWE-203,3,Information Exposure
gitlab,CWE-843,3,Broken Business Logic
jenkins,CWE-346,2,Broken Business Logic
jenkins,CWE-276,2,Identity & Access Management
gitlab,CWE-444,2,Broken Business Logic
gitlab,CWE-451,2,Broken Business Logic
gitlab,CWE-535,2,Information Exposure
gitlab,CWE-552,2,Information Exposure
jenkins,CWE-754,2,Broken Business Logic
jenkins,CWE-835,2,Resource & Memory Mgmt.
jenkins,CWE-209,2,Information Exposure
gitlab,CWE-93,2,Injection & Input Handling
gitlab,CWE-89,2,Injection & Input Handling
gitlab,CWE-697,2,Broken Business Logic
gitlab,CWE-674,2,Broken Business Logic
gitlab,CWE-706,2,Broken Business Logic
gitlab,CWE-754,2,Broken Business Logic
gitlab,CWE-798,2,Cryptography
gitlab,CWE-270,2,Identity & Access Management
gitlab,CWE-267,2,Identity & Access Management
gitlab,CWE-268,2,Identity & Access Management
gitlab,CWE-330,2,Cryptography
gitlab,CWE-262,2,Identity & Access Management
gitlab,CWE-459,2,Broken Business Logic
gitlab,CWE-502,2,Broken Business Logic
gitlab,CWE-384,2,Identity & Access Management
gitlab,CWE-346,2,Broken Business Logic
gitlab,CWE-749,2,Broken Business Logic
gitlab,CWE-113,1,Injection & Input Handling
gitlab,CWE-1390,1,Miscellaneous & Unmapped
gitlab,CWE-1295,1,Broken Business Logic
gitlab,CWE-177,1,Miscellaneous & Unmapped
gitlab,CWE-203,1,Information Exposure
gitlab,CWE-327,1,Cryptography
gitlab,CWE-326,1,Cryptography
gitlab,CWE-305,1,Identity & Access Management
gitlab,CWE-302,1,Identity & Access Management
gitlab,CWE-252,1,Cryptography
gitlab,CWE-233,1,Miscellaneous & Unmapped
gitlab,CWE-279,1,Identity & Access Management
gitlab,CWE-282,1,Identity & Access Management
