id,sourceIdentifier,published,lastModified,vulnStatus,descriptions,weaknesses,configurations,references,cveTags,metrics
CVE-2014-10002,cve@mitre.org,2015-01-13T11:59:11.710,2026-05-06T22:30:45.220,Modified,"[{""lang"": ""en"", ""value"": ""Unspecified vulnerability in JetBrains TeamCity before 8.1 allows remote attackers to obtain sensitive information via unknown vectors.""}, {""lang"": ""es"", ""value"": ""Vulnerabilidad no especificada en JetBrains TeamCity anterior a 8.1 permite a atacantes remotos obtener información sensible a través de vectores desconocidos.""}]","[{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""description"": [{""lang"": ""en"", ""value"": ""NVD-CWE-noinfo""}]}]","[{""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:jetbrains:teamcity:*:*:*:*:*:*:*:*"", ""versionEndIncluding"": ""8.0"", ""matchCriteriaId"": ""A787789E-3143-4EEF-AFC9-E059B23CB28F""}]}]}]","[{""url"": ""http://confluence.jetbrains.com/display/TCD8/What%27s+New+in+TeamCity+8.1"", ""source"": ""cve@mitre.org"", ""tags"": [""Vendor Advisory""]}, {""url"": ""http://secunia.com/advisories/57221"", ""source"": ""cve@mitre.org""}, {""url"": ""http://confluence.jetbrains.com/display/TCD8/What%27s+New+in+TeamCity+8.1"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Vendor Advisory""]}, {""url"": ""http://secunia.com/advisories/57221"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108""}]",[],"{""cvssMetricV2"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""2.0"", ""vectorString"": ""AV:N/AC:L/Au:N/C:P/I:N/A:N"", ""baseScore"": 5.0, ""accessVector"": ""NETWORK"", ""accessComplexity"": ""LOW"", ""authentication"": ""NONE"", ""confidentialityImpact"": ""PARTIAL"", ""integrityImpact"": ""NONE"", ""availabilityImpact"": ""NONE""}, ""baseSeverity"": ""MEDIUM"", ""exploitabilityScore"": 10.0, ""impactScore"": 2.9, ""acInsufInfo"": true, ""obtainAllPrivilege"": false, ""obtainUserPrivilege"": false, ""obtainOtherPrivilege"": false, ""userInteractionRequired"": false}]}"
CVE-2014-10036,cve@mitre.org,2015-01-13T15:59:46.430,2026-05-06T22:30:45.220,Modified,"[{""lang"": ""en"", ""value"": ""Cross-site scripting (XSS) vulnerability in JetBrains TeamCity before 8.1 allows remote attackers to inject arbitrary web script or HTML via the cameFromUrl parameter to feed/generateFeedUrl.html.""}, {""lang"": ""es"", ""value"": ""Vulnerabilidad de XSS en JetBrains TeamCity anterior a 8.1 permite a atacantes remotos inyectar secuencias de comandos web o HTML arbitrarios a través del parámetro cameFromUrl en feed/generateFeedUrl.html.""}]","[{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-79""}]}]","[{""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:jetbrains:teamcity:*:*:*:*:*:*:*:*"", ""versionEndIncluding"": ""8.0"", ""matchCriteriaId"": ""A787789E-3143-4EEF-AFC9-E059B23CB28F""}]}]}]","[{""url"": ""http://confluence.jetbrains.com/display/TCD8/What%27s+New+in+TeamCity+8.1"", ""source"": ""cve@mitre.org""}, {""url"": ""http://secunia.com/advisories/57221"", ""source"": ""cve@mitre.org""}, {""url"": ""https://exchange.xforce.ibmcloud.com/vulnerabilities/91768"", ""source"": ""cve@mitre.org""}, {""url"": ""https://www.netsparker.com/critical-xss-vulnerabilities-in-teamcity/"", ""source"": ""cve@mitre.org"", ""tags"": [""Exploit""]}, {""url"": ""http://confluence.jetbrains.com/display/TCD8/What%27s+New+in+TeamCity+8.1"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108""}, {""url"": ""http://secunia.com/advisories/57221"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108""}, {""url"": ""https://exchange.xforce.ibmcloud.com/vulnerabilities/91768"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108""}, {""url"": ""https://www.netsparker.com/critical-xss-vulnerabilities-in-teamcity/"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Exploit""]}]",[],"{""cvssMetricV2"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""2.0"", ""vectorString"": ""AV:N/AC:M/Au:N/C:N/I:P/A:N"", ""baseScore"": 4.3, ""accessVector"": ""NETWORK"", ""accessComplexity"": ""MEDIUM"", ""authentication"": ""NONE"", ""confidentialityImpact"": ""NONE"", ""integrityImpact"": ""PARTIAL"", ""availabilityImpact"": ""NONE""}, ""baseSeverity"": ""MEDIUM"", ""exploitabilityScore"": 8.6, ""impactScore"": 2.9, ""acInsufInfo"": false, ""obtainAllPrivilege"": false, ""obtainUserPrivilege"": false, ""obtainOtherPrivilege"": false, ""userInteractionRequired"": true}]}"
CVE-2019-12841,cve@mitre.org,2019-07-03T20:15:11.290,2024-11-21T04:23:41.877,Modified,"[{""lang"": ""en"", ""value"": ""Incorrect handling of user input in ZIP extraction was detected in JetBrains TeamCity. The issue was fixed in TeamCity 2018.2.2.""}, {""lang"": ""es"", ""value"": ""El manejo incorrecto de la entrada del usuario en la extracción de ZIP se detectó en JetBrains TeamCity. El problema se solucionó en TeamCity versión 02.02.2018.""}]","[{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-20""}]}]","[{""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:jetbrains:teamcity:*:*:*:*:*:*:*:*"", ""versionEndExcluding"": ""2018.2.2"", ""matchCriteriaId"": ""5F1C6959-B513-439A-A206-8D399864E72E""}]}]}]","[{""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""cve@mitre.org"", ""tags"": [""Vendor Advisory""]}, {""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Vendor Advisory""]}]",[],"{""cvssMetricV30"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""3.0"", ""vectorString"": ""CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N"", ""baseScore"": 7.5, ""baseSeverity"": ""HIGH"", ""attackVector"": ""NETWORK"", ""attackComplexity"": ""LOW"", ""privilegesRequired"": ""NONE"", ""userInteraction"": ""NONE"", ""scope"": ""UNCHANGED"", ""confidentialityImpact"": ""NONE"", ""integrityImpact"": ""HIGH"", ""availabilityImpact"": ""NONE""}, ""exploitabilityScore"": 3.9, ""impactScore"": 3.6}], ""cvssMetricV2"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""2.0"", ""vectorString"": ""AV:N/AC:L/Au:N/C:N/I:P/A:N"", ""baseScore"": 5.0, ""accessVector"": ""NETWORK"", ""accessComplexity"": ""LOW"", ""authentication"": ""NONE"", ""confidentialityImpact"": ""NONE"", ""integrityImpact"": ""PARTIAL"", ""availabilityImpact"": ""NONE""}, ""baseSeverity"": ""MEDIUM"", ""exploitabilityScore"": 10.0, ""impactScore"": 2.9, ""acInsufInfo"": false, ""obtainAllPrivilege"": false, ""obtainUserPrivilege"": false, ""obtainOtherPrivilege"": false, ""userInteractionRequired"": false}]}"
CVE-2019-12842,cve@mitre.org,2019-07-03T20:15:11.353,2024-11-21T04:23:42.023,Modified,"[{""lang"": ""en"", ""value"": ""A reflected XSS on a user page was detected on one of the JetBrains TeamCity pages. The issue was fixed in TeamCity 2018.2.2.""}, {""lang"": ""es"", ""value"": ""Se detectó un Cross-Site Scripting (XSS) reflejado en una página de usuario en una de las páginas TeamBity de JetBrains. El problema se solucionó en TeamCity 02.02.2018.""}]","[{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-79""}]}]","[{""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:jetbrains:teamcity:*:*:*:*:*:*:*:*"", ""versionEndExcluding"": ""2018.2.2"", ""matchCriteriaId"": ""5F1C6959-B513-439A-A206-8D399864E72E""}]}]}]","[{""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""cve@mitre.org"", ""tags"": [""Vendor Advisory""]}, {""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Vendor Advisory""]}]",[],"{""cvssMetricV30"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""3.0"", ""vectorString"": ""CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N"", ""baseScore"": 6.1, ""baseSeverity"": ""MEDIUM"", ""attackVector"": ""NETWORK"", ""attackComplexity"": ""LOW"", ""privilegesRequired"": ""NONE"", ""userInteraction"": ""REQUIRED"", ""scope"": ""CHANGED"", ""confidentialityImpact"": ""LOW"", ""integrityImpact"": ""LOW"", ""availabilityImpact"": ""NONE""}, ""exploitabilityScore"": 2.8, ""impactScore"": 2.7}], ""cvssMetricV2"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""2.0"", ""vectorString"": ""AV:N/AC:M/Au:N/C:N/I:P/A:N"", ""baseScore"": 4.3, ""accessVector"": ""NETWORK"", ""accessComplexity"": ""MEDIUM"", ""authentication"": ""NONE"", ""confidentialityImpact"": ""NONE"", ""integrityImpact"": ""PARTIAL"", ""availabilityImpact"": ""NONE""}, ""baseSeverity"": ""MEDIUM"", ""exploitabilityScore"": 8.6, ""impactScore"": 2.9, ""acInsufInfo"": false, ""obtainAllPrivilege"": false, ""obtainUserPrivilege"": false, ""obtainOtherPrivilege"": false, ""userInteractionRequired"": true}]}"
CVE-2019-12843,cve@mitre.org,2019-07-03T20:15:11.417,2024-11-21T04:23:42.180,Modified,"[{""lang"": ""en"", ""value"": ""A possible stored JavaScript injection requiring a deliberate server administrator action was detected. The issue was fixed in JetBrains TeamCity 2018.2.3.""}, {""lang"": ""es"", ""value"": ""Se detectó una posible inyección de JavaScript almacenada que requiere una acción deliberada del administrador del servidor. El problema se solucionó en JetBrains TeamCity 03.02.2018.""}]","[{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-94""}]}]","[{""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:jetbrains:teamcity:*:*:*:*:*:*:*:*"", ""versionEndExcluding"": ""2018.2.3"", ""matchCriteriaId"": ""10453A38-5B72-4269-8CE5-3F6400317568""}]}]}]","[{""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""cve@mitre.org"", ""tags"": [""Vendor Advisory""]}, {""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Vendor Advisory""]}]",[],"{""cvssMetricV30"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""3.0"", ""vectorString"": ""CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N"", ""baseScore"": 6.1, ""baseSeverity"": ""MEDIUM"", ""attackVector"": ""NETWORK"", ""attackComplexity"": ""LOW"", ""privilegesRequired"": ""NONE"", ""userInteraction"": ""REQUIRED"", ""scope"": ""CHANGED"", ""confidentialityImpact"": ""LOW"", ""integrityImpact"": ""LOW"", ""availabilityImpact"": ""NONE""}, ""exploitabilityScore"": 2.8, ""impactScore"": 2.7}], ""cvssMetricV2"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""2.0"", ""vectorString"": ""AV:N/AC:M/Au:N/C:N/I:P/A:N"", ""baseScore"": 4.3, ""accessVector"": ""NETWORK"", ""accessComplexity"": ""MEDIUM"", ""authentication"": ""NONE"", ""confidentialityImpact"": ""NONE"", ""integrityImpact"": ""PARTIAL"", ""availabilityImpact"": ""NONE""}, ""baseSeverity"": ""MEDIUM"", ""exploitabilityScore"": 8.6, ""impactScore"": 2.9, ""acInsufInfo"": false, ""obtainAllPrivilege"": false, ""obtainUserPrivilege"": false, ""obtainOtherPrivilege"": false, ""userInteractionRequired"": true}]}"
CVE-2019-12844,cve@mitre.org,2019-07-03T20:15:11.493,2024-11-21T04:23:42.327,Modified,"[{""lang"": ""en"", ""value"": ""A possible stored JavaScript injection was detected on one of the JetBrains TeamCity pages. The issue was fixed in TeamCity 2018.2.3.""}, {""lang"": ""es"", ""value"": ""Se detectó una posible inyección de JavaScript almacenada en una de las páginas TeamBity de JetBrains. El problema se solucionó en TeamCity 03.02.2018.""}]","[{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-94""}]}]","[{""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:jetbrains:teamcity:*:*:*:*:*:*:*:*"", ""versionEndExcluding"": ""2018.2.3"", ""matchCriteriaId"": ""10453A38-5B72-4269-8CE5-3F6400317568""}]}]}]","[{""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""cve@mitre.org"", ""tags"": [""Vendor Advisory""]}, {""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Vendor Advisory""]}]",[],"{""cvssMetricV30"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""3.0"", ""vectorString"": ""CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N"", ""baseScore"": 6.1, ""baseSeverity"": ""MEDIUM"", ""attackVector"": ""NETWORK"", ""attackComplexity"": ""LOW"", ""privilegesRequired"": ""NONE"", ""userInteraction"": ""REQUIRED"", ""scope"": ""CHANGED"", ""confidentialityImpact"": ""LOW"", ""integrityImpact"": ""LOW"", ""availabilityImpact"": ""NONE""}, ""exploitabilityScore"": 2.8, ""impactScore"": 2.7}], ""cvssMetricV2"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""2.0"", ""vectorString"": ""AV:N/AC:M/Au:N/C:N/I:P/A:N"", ""baseScore"": 4.3, ""accessVector"": ""NETWORK"", ""accessComplexity"": ""MEDIUM"", ""authentication"": ""NONE"", ""confidentialityImpact"": ""NONE"", ""integrityImpact"": ""PARTIAL"", ""availabilityImpact"": ""NONE""}, ""baseSeverity"": ""MEDIUM"", ""exploitabilityScore"": 8.6, ""impactScore"": 2.9, ""acInsufInfo"": false, ""obtainAllPrivilege"": false, ""obtainUserPrivilege"": false, ""obtainOtherPrivilege"": false, ""userInteractionRequired"": true}]}"
CVE-2019-12845,cve@mitre.org,2019-07-03T20:15:11.557,2024-11-21T04:23:42.477,Modified,"[{""lang"": ""en"", ""value"": ""The generated Kotlin DSL settings allowed usage of an unencrypted connection for resolving artifacts. The issue was fixed in JetBrains TeamCity 2018.2.3.""}, {""lang"": ""es"", ""value"": ""Las configuraciones DSL de Kotlin generadas permitieron el uso de una conexión sin cifrar para resolver artefactos. El problema se solucionó en JetBrains TeamCity 03.02.2018.""}]","[{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-287""}]}]","[{""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:jetbrains:teamcity:*:*:*:*:*:*:*:*"", ""versionEndExcluding"": ""2018.2.3"", ""matchCriteriaId"": ""10453A38-5B72-4269-8CE5-3F6400317568""}]}]}]","[{""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""cve@mitre.org"", ""tags"": [""Vendor Advisory""]}, {""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Vendor Advisory""]}]",[],"{""cvssMetricV30"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""3.0"", ""vectorString"": ""CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N"", ""baseScore"": 5.3, ""baseSeverity"": ""MEDIUM"", ""attackVector"": ""NETWORK"", ""attackComplexity"": ""LOW"", ""privilegesRequired"": ""NONE"", ""userInteraction"": ""NONE"", ""scope"": ""UNCHANGED"", ""confidentialityImpact"": ""NONE"", ""integrityImpact"": ""LOW"", ""availabilityImpact"": ""NONE""}, ""exploitabilityScore"": 3.9, ""impactScore"": 1.4}], ""cvssMetricV2"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""2.0"", ""vectorString"": ""AV:N/AC:L/Au:N/C:N/I:P/A:N"", ""baseScore"": 5.0, ""accessVector"": ""NETWORK"", ""accessComplexity"": ""LOW"", ""authentication"": ""NONE"", ""confidentialityImpact"": ""NONE"", ""integrityImpact"": ""PARTIAL"", ""availabilityImpact"": ""NONE""}, ""baseSeverity"": ""MEDIUM"", ""exploitabilityScore"": 10.0, ""impactScore"": 2.9, ""acInsufInfo"": false, ""obtainAllPrivilege"": false, ""obtainUserPrivilege"": false, ""obtainOtherPrivilege"": false, ""userInteractionRequired"": false}]}"
CVE-2019-12846,cve@mitre.org,2019-07-03T20:15:11.620,2024-11-21T04:23:42.620,Modified,"[{""lang"": ""en"", ""value"": ""A user without the required permissions could gain access to some JetBrains TeamCity settings. The issue was fixed in TeamCity 2018.2.2.""}, {""lang"": ""es"", ""value"": ""Un usuario sin los permisos necesarios podría obtener acceso a algunas configuraciones de TeamBity de JetBrains. El problema se solucionó en TeamCity 02.02.2018.""}]","[{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""description"": [{""lang"": ""en"", ""value"": ""NVD-CWE-noinfo""}]}]","[{""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:jetbrains:teamcity:*:*:*:*:*:*:*:*"", ""versionEndExcluding"": ""2018.2.2"", ""matchCriteriaId"": ""5F1C6959-B513-439A-A206-8D399864E72E""}]}]}]","[{""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""cve@mitre.org"", ""tags"": [""Vendor Advisory""]}, {""url"": ""https://blog.jetbrains.com/blog/2019/06/19/jetbrains-security-bulletin-q1-2019/"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Vendor Advisory""]}]",[],"{""cvssMetricV30"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""3.0"", ""vectorString"": ""CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N"", ""baseScore"": 4.3, ""baseSeverity"": ""MEDIUM"", ""attackVector"": ""NETWORK"", ""attackComplexity"": ""LOW"", ""privilegesRequired"": ""LOW"", ""userInteraction"": ""NONE"", ""scope"": ""UNCHANGED"", ""confidentialityImpact"": ""NONE"", ""integrityImpact"": ""LOW"", ""availabilityImpact"": ""NONE""}, ""exploitabilityScore"": 2.8, ""impactScore"": 1.4}], ""cvssMetricV2"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""2.0"", ""vectorString"": ""AV:N/AC:L/Au:S/C:N/I:P/A:N"", ""baseScore"": 4.0, ""accessVector"": ""NETWORK"", ""accessComplexity"": ""LOW"", ""authentication"": ""SINGLE"", ""confidentialityImpact"": ""NONE"", ""integrityImpact"": ""PARTIAL"", ""availabilityImpact"": ""NONE""}, ""baseSeverity"": ""MEDIUM"", ""exploitabilityScore"": 8.0, ""impactScore"": 2.9, ""acInsufInfo"": false, ""obtainAllPrivilege"": false, ""obtainUserPrivilege"": false, ""obtainOtherPrivilege"": false, ""userInteractionRequired"": false}]}"
CVE-2019-15848,cve@mitre.org,2019-09-05T20:15:11.490,2024-11-21T04:29:36.360,Modified,"[{""lang"": ""en"", ""value"": ""JetBrains TeamCity 2019.1 and 2019.1.1 allows cross-site scripting (XSS), potentially making it possible to send an arbitrary HTTP request to a TeamCity server under the name of the currently logged-in user.""}, {""lang"": ""es"", ""value"": ""JetBrains TeamCity 2019.1 y 2019.1.1 permite Cross-Site Scripting (XSS), lo que posiblemente permite enviar una petición HTTP arbitraria a un servidor TeamCity con el nombre del usuario actualmente registrado.""}]","[{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-79""}]}]","[{""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:jetbrains:teamcity:2019.1:-:*:*:*:*:*:*"", ""matchCriteriaId"": ""FDC4CCBE-B323-4C76-B392-92202EE3A0C3""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:jetbrains:teamcity:2019.1.1:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""88A36507-0013-428C-A5D4-A219E94DAC09""}]}]}]","[{""url"": ""https://blog.jetbrains.com/teamcity/2019/09/important-security-notice-xss-vulnerability-allowing-rce/"", ""source"": ""cve@mitre.org"", ""tags"": [""Patch"", ""Vendor Advisory""]}, {""url"": ""https://gist.github.com/JLLeitschuh/fe6784391254b58de680bbda78a04a70"", ""source"": ""cve@mitre.org""}, {""url"": ""https://twitter.com/JLLeitschuh/status/1169332316612644864?s=20"", ""source"": ""cve@mitre.org""}, {""url"": ""https://www.softwaresecured.com/jetbrains-teamcity-reflected-xss/"", ""source"": ""cve@mitre.org""}, {""url"": ""https://blog.jetbrains.com/teamcity/2019/09/important-security-notice-xss-vulnerability-allowing-rce/"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Patch"", ""Vendor Advisory""]}, {""url"": ""https://gist.github.com/JLLeitschuh/fe6784391254b58de680bbda78a04a70"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108""}, {""url"": ""https://twitter.com/JLLeitschuh/status/1169332316612644864?s=20"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108""}, {""url"": ""https://www.softwaresecured.com/jetbrains-teamcity-reflected-xss/"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108""}]",[],"{""cvssMetricV30"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""3.0"", ""vectorString"": ""CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N"", ""baseScore"": 6.1, ""baseSeverity"": ""MEDIUM"", ""attackVector"": ""NETWORK"", ""attackComplexity"": ""LOW"", ""privilegesRequired"": ""NONE"", ""userInteraction"": ""REQUIRED"", ""scope"": ""CHANGED"", ""confidentialityImpact"": ""LOW"", ""integrityImpact"": ""LOW"", ""availabilityImpact"": ""NONE""}, ""exploitabilityScore"": 2.8, ""impactScore"": 2.7}], ""cvssMetricV2"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""2.0"", ""vectorString"": ""AV:N/AC:M/Au:N/C:N/I:P/A:N"", ""baseScore"": 4.3, ""accessVector"": ""NETWORK"", ""accessComplexity"": ""MEDIUM"", ""authentication"": ""NONE"", ""confidentialityImpact"": ""NONE"", ""integrityImpact"": ""PARTIAL"", ""availabilityImpact"": ""NONE""}, ""baseSeverity"": ""MEDIUM"", ""exploitabilityScore"": 8.6, ""impactScore"": 2.9, ""acInsufInfo"": false, ""obtainAllPrivilege"": false, ""obtainUserPrivilege"": false, ""obtainOtherPrivilege"": false, ""userInteractionRequired"": true}]}"
CVE-2019-15039,cve@mitre.org,2019-10-01T14:15:38.177,2024-11-21T04:27:55.853,Modified,"[{""lang"": ""en"", ""value"": ""An issue was discovered in JetBrains TeamCity 2018.2.4. It had a possible remote code execution issue. This was fixed in TeamCity 2019.1.""}, {""lang"": ""es"", ""value"": ""Se descubrió in JetBrains TeamCity 2018,2,4. Tenía un posible problema de ejecución de código remoto. Esto fue solucionado en TeamCity 2019,1""}]","[{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-22""}]}]","[{""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:jetbrains:teamcity:2018.2.4:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""115932EC-6D38-430B-9B21-2B82436B56CD""}]}]}]","[{""url"": ""http://packetstormsecurity.com/files/155874/JetBrains-TeamCity-2018.2.4-Remote-Code-Execution.html"", ""source"": ""cve@mitre.org""}, {""url"": ""https://blog.jetbrains.com/blog/2019/09/26/jetbrains-security-bulletin-q2-2019/"", ""source"": ""cve@mitre.org"", ""tags"": [""Vendor Advisory""]}, {""url"": ""http://packetstormsecurity.com/files/155874/JetBrains-TeamCity-2018.2.4-Remote-Code-Execution.html"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108""}, {""url"": ""https://blog.jetbrains.com/blog/2019/09/26/jetbrains-security-bulletin-q2-2019/"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Vendor Advisory""]}]",[],"{""cvssMetricV31"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""3.1"", ""vectorString"": ""CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H"", ""baseScore"": 9.8, ""baseSeverity"": ""CRITICAL"", ""attackVector"": ""NETWORK"", ""attackComplexity"": ""LOW"", ""privilegesRequired"": ""NONE"", ""userInteraction"": ""NONE"", ""scope"": ""UNCHANGED"", ""confidentialityImpact"": ""HIGH"", ""integrityImpact"": ""HIGH"", ""availabilityImpact"": ""HIGH""}, ""exploitabilityScore"": 3.9, ""impactScore"": 5.9}], ""cvssMetricV2"": [{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""cvssData"": {""version"": ""2.0"", ""vectorString"": ""AV:N/AC:M/Au:N/C:P/I:P/A:P"", ""baseScore"": 6.8, ""accessVector"": ""NETWORK"", ""accessComplexity"": ""MEDIUM"", ""authentication"": ""NONE"", ""confidentialityImpact"": ""PARTIAL"", ""integrityImpact"": ""PARTIAL"", ""availabilityImpact"": ""PARTIAL""}, ""baseSeverity"": ""MEDIUM"", ""exploitabilityScore"": 8.6, ""impactScore"": 6.4, ""acInsufInfo"": false, ""obtainAllPrivilege"": false, ""obtainUserPrivilege"": false, ""obtainOtherPrivilege"": false, ""userInteractionRequired"": false}]}"
